44231,0.014,-0.055,1.035,3.140,-3.201,-5.061,28.218
44237,0.033,-0.034,1.016,2.835,-2.835,-4.482,28.239
44243,0.042,-0.021,1.019,2.896,-1.280,-2.500,28.221
44249,0.041,-0.012,1.007,2.561,0.030,-0.396,28.254
44255,0.040,-0.012,1.020,2.805,0.732,2.256,28.283
44261,0.041,-0.023,1.032,3.415,0.945,4.482,28.265
44267,0.039,-0.048,1.041,3.811,0.640,5.915,28.262
44273,0.041,-0.067,1.043,3.445,-0.183,6.402,28.262
44279,0.034,-0.073,1.045,2.683,-1.372,5.915,28.239
44285,0.040,-0.074,1.047,1.860,-2.348,5.366,28.227
44291,0.041,-0.067,1.047,1.128,-3.110,5.030,28.245
44297,0.038,-0.068,1.047,0.335,-4.055,4.695,28.274
44303,0.044,-0.062,1.046,-0.793,-5.366,3.811,28.262
44309,0.056,-0.052,1.030,-1.982,-6.829,3.262,28.233
44315,0.067,-0.041,1.014,-2.591,-7.561,3.506,28.221
44321,0.076,-0.036,1.002,-2.835,-7.287,4.207,28.195
44327,0.076,-0.042,0.997,-3.110,-6.677,4.787,28.248
44333,0.080,-0.046,0.991,-3.628,-5.915,4.787,28.236
44339,0.093,-0.046,0.983,-3.933,-5.122,4.390,28.245
44345,0.102,-0.042,0.978,-3.872,-3.963,4.665,28.236
44351,0.103,-0.048,0.981,-2.957,-1.768,5.366,28.274
44357,0.104,-0.055,0.988,-2.134,1.067,6.098,28.218
44363,0.093,-0.061,1.012,-1.921,3.232,6.280,28.256
44369,0.084,-0.064,1.022,-1.951,4.451,6.128,28.221
44375,0.076,-0.059,1.044,-1.311,5.244,6.372,28.215
44381,0.067,-0.052,1.064,-0.793,5.488,6.585,28.215
